id,name,descriptionformat,parent,sortorder,coursecount,visible,visibleold,timemodified,path
26,CAHS 2022-2023 1st Semester,1,17,250000,112,1,1,2,/17/26
32,CASE 2022-2023 1st Semester,1,18,310000,326,1,1,2,/18/32
36,CBMA 2022-2023 1st Semester,1,19,380000,204,1,1,2,/19/36
42,CEIS 2022-2023 1st Semester,1,20,440000,114,1,1,2,/20/42
47,CHTM 2022-2023 1st Semester,1,21,500000,153,1,1,2,/21/47
52,CMT 2022-2023 1st Semester,1,22,560000,170,1,1,2,/22/52
57,SLCN 2022-2023 1st Semester,1,23,620000,389,1,1,2,/23/57
70,JHS 2022-2023 Subjects,1,66,740000,114,1,1,3,/25/66/70
71,SHS 2022-2023 1st Semester,1,67,760000,98,1,1,3,/25/67/71
